v_w,alpha,model,f_p,omega_p
0.6,0.3,Mixed,0.0008849137722610613,5.379226692939719e-09
0.6,0.6,SSM,0.0008849137206965742,2.6127435775545344e-08
0.6,0.6,Bub,0.0008850572619827097,4.019614884879865e-11
0.6,0.6,Mixed,0.0008849137602322755,1.6721975081353628e-08
0.6,1.0,SSM,0.0008849137206965765,5.106347487113633e-08
0.6,1.0,Bub,0.0008850572619827247,7.855937545077865e-11
0.6,1.0,Mixed,0.0008849137545727984,3.2681433022061856e-08
0.7,0.01,SSM,0.0007585095905350435,3.737617489765407e-12
0.7,0.01,Bub,0.0007585479419183128,6.708513504064951e-15
0.7,0.01,Mixed,0.0007585099384134459,2.3921648368632605e-12
0.7,0.03,SSM,0.0007585095905350865,6.270098017711445e-11
0.7,0.03,Bub,0.0007585479419183633,1.1253970567831702e-13
0.7,0.03,Mixed,0.0007585097628618629,4.012993969918752e-11
0.7,0.1,SSM,0.0007585095905350967,1.0641724712498692e-09
0.7,0.1,Bub,0.0007585479419183215,1.9100444102646796e-12
0.7,0.1,Mixed,0.0007585096758723513,6.810910456191451e-10
0.7,0.3,SSM,0.0007585095905350266,9.805645862548686e-09
0.7,0.3,Bub,0.000758547941918306,1.7599796625822493e-11
0.7,0.3,Mixed,0.0007585096398809405,6.275797619261421e-09
0.7,0.6,SSM,0.0007585095905350448,3.0482041537281175e-08
0.7,0.6,Bub,0.0007585479419183141,5.4711106164361165e-11
0.7,0.6,Mixed,0.0007585096279096297,1.9509073054357737e-08
0.7,1.0,SSM,0.0007585095905350812,5.9574118770462895e-08
0.7,1.0,Bub,0.0007585479419183013,1.0692741602338492e-10
0.7,1.0,Mixed,0.0007585096222772502,3.8128537287467377e-08
0.8,0.01,SSM,0.0006636880386200997,4.271562020919197e-12
0.8,0.01,Bub,0.0006637810559294117,8.59682669175154e-15
0.8,0.01,Mixed,0.0006636883886103802,2.7339151248941646e-12
0.8,0.03,SSM,0.000663688038620112,7.165824922758966e-11
0.8,0.03,Bub,0.000663781055929387,1.442173955632515e-13
0.8,0.03,Mixed,0.0006636882127492047,4.586296590457169e-11
0.8,0.1,SSM,0.000663688038620115,1.216196875240965e-09
0.8,0.1,Bub,0.000663781055929318,2.447683940509858e-12
0.8,0.1,Mixed,0.0006636881256062448,7.783925191699007e-10
0.8,0.3,SSM,0.0006636880386201521,1.1206450251194364e-08
0.8,0.3,Bub,0.0006637810559293846,2.2553789496076488e-11
0.8,0.3,Mixed,0.0006636880895513096,7.1723644990940305e-09
0.8,0.6,SSM,0.0006636880386201527,3.483661217534567e-08
0.8,0.6,Bub,0.0006637810559293994,7.011119490540298e-11
0.8,0.6,Mixed,0.0006636880775588858,2.2296158189406944e-08
0.8,1.0,SSM,0.0006636880386201291,6.808469402405717e-08
0.8,1.0,Bub,0.0006637810559293676,1.3702535794149562e-10
0.8,1.0,Mixed,0.0006636880719165911,4.357561622424724e-08
0.9,0.01,SSM,0.0005899482803739958,4.805507893853858e-12
0.9,0.01,Bub,0.0005900060228424391,1.0548632547872652e-14
0.9,0.01,Mixed,0.0005899486293243062,3.0756678270904554e-12
0.9,0.03,SSM,0.0005899482803740115,8.061554078730616e-11
0.9,0.03,Bub,0.0005900060228424868,1.7696021652590428e-13
0.9,0.03,Mixed,0.000589948453599881,5.159602479735132e-11
0.9,0.1,SSM,0.0005899482803740702,1.3682216612632187e-09
0.9,0.1,Bub,0.0005900060228424957,3.00340106966939e-12
0.9,0.1,Mixed,0.0005899483665245847,8.756944817993037e-10
0.9,0.3,SSM,0.0005899482803740372,1.2607258160003433e-08
0.9,0.3,Bub,0.0005900060228425042,2.76743554903185e-11
0.9,0.3,Mixed,0.0005899483304976659,8.068935634998895e-09
0.9,0.6,SSM,0.0005899482803740524,3.919119375626322e-08
0.9,0.6,Bub,0.0005900060228424857,8.602909644078751e-11
0.9,0.6,Mixed,0.000589948318514614,2.5083256295999504e-08
0.9,1.0,SSM,0.0005899482803740404,7.659529066437867e-08
0.9,1.0,Bub,0.0005900060228425068,1.6813531347008067e-10
0.9,1.0,Mixed,0.0005899483128766631,4.902272027448287e-08
0.95,0.01,SSM,0.0005588939826480369,8.152877547711937e-15
0.95,0.01,Bub,0.0005589762426987762,1.8545667710173266e-17
0.95,0.01,Mixed,0.0005588957276855483,5.218360593147755e-15
0.95,0.03,SSM,0.0005588939826480637,5.929416171621978e-13
0.95,0.03,Bub,0.0005589762426987955,1.348787362384451e-15
0.95,0.03,Mixed,0.0005588945817998053,3.795044286147328e-13
0.95,0.1,SSM,0.0005588939826480552,5.249546151775852e-11
0.95,0.1,Bub,0.0005589762426988234,1.1941346842303435e-13
0.95,0.1,Mixed,0.0005588941796026664,3.359852923005977e-11
0.95,0.3,SSM,0.0005588939826480493,1.9298082656790723e-09
0.95,0.3,Bub,0.0005589762426988174,4.389809932772872e-12
0.95,0.3,Mixed,0.0005588940640696178,1.2351247670847505e-09
0.95,0.6,SSM,0.0005588939826480478,1.212726923778801e-08
0.95,0.6,Bub,0.0005589762426988015,2.7586371094085136e-11
0.95,0.6,Mixed,0.0005588940349633956,7.76174238092915e-09
0.95,1.0,SSM,0.000558893982648031,3.542008164881699e-08
0.95,1.0,Bub,0.0005589762426988065,8.057143759144163e-11
0.95,1.0,Mixed,0.0005588940232341117,2.2669689705976912e-08
